ID;Name;FullName;Age;Height;Weight;PhotoUrl;Nationality;Overall;Potential;Growth;TotalStats;BaseStats;Positions;BestPosition;Club_id;ValueEUR;WageEUR;ReleaseClause;ClubPosition;ContractUntil;ClubNumber;ClubJoined;OnLoad;NationalTeam;NationalPosition;NationalNumber;PreferredFoot;IntReputation;WeakFoot;SkillMoves;AttackingWorkRate;DefensiveWorkRate;PaceTotal;ShootingTotal;PassingTotal;DribblingTotal;DefendingTotal;PhysicalityTotal;Crossing;Finishing;HeadingAccuracy;ShortPassing;Volleys;Dribbling;Curve;FKAccuracy;LongPassing;BallControl;Acceleration;SprintSpeed;Agility;Reactions;Balance;ShotPower;Jumping;Stamina;Strength;LongShots;Aggression;Interceptions;Positioning;Vision;Penalties;Composure;Marking;StandingTackle;SlidingTackle;GKDiving;GKHandling;GKKicking;GKPositioning;GKReflexes;STRating;LWRating;LFRating;CFRating;RFRating;RWRating;CAMRating;LMRating;CMRating;RMRating;LWBRating;CDMRating;RWBRating;LBRating;CBRating;RBRating;GKRating
158023;L. Messi;Lionel Messi;33;170;72;https://cdn.sofifa.com/players/158/023/21_60.png;Argentina;93;93;0;2231;466;RW,ST,CF;RW;73;103500000;320000;191500000;RW;2023;30;2021;False;Argentina;RW;10;Left;5;4;4;Medium;Low;85;92;91;95;38;65;85;95;70;91;88;96;93;94;91;96;91;80;91;94;95;86;68;72;69;94;44;40;93;95;75;96;32;35;24;6;11;15;14;8;92;92;93;93;93;92;93;93;90;93;69;68;69;65;55;65;22
20801;Cristiano Ronaldo;C. Ronaldo dos Santos Aveiro;35;187;83;https://cdn.sofifa.com/players/020/801/21_60.png;Portugal;92;92;0;2221;464;ST,LW;ST;45;63000000;220000;104000000;ST;2022;7;2018;False;Portugal;ST;7;Right;5;4;5;High;Low;89;93;81;89;35;77;84;95;90;82;86;88;81;76;77;92;87;91;87;95;71;94;95;84;78;93;63;29;95;82;84;95;28;32;24;7;11;15;14;11;92;89;91;91;91;89;91;91;84;91;68;64;68;64;57;64;23
188545;R. Lewandowski;Robert Lewandowski;31;185;81;https://cdn.sofifa.com/players/188/545/21_60.png;Poland;92;92;0;2211;460;ST;ST;21;124500000;270000;205400000;ST;2023;9;2014;False;Poland;ST;9;Right;4;4;4;High;Medium;78;92;79;85;44;82;71;95;90;85;89;85;79;85;70;88;77;79;77;93;82;90;84;76;86;87;81;49;95;81;90;88;35;42;19;15;6;12;8;10;92;85;88;88;88;85;89;87;83;87;67;69;67;64;63;64;22
190871;Neymar Jr;Neymar da Silva Santos Jr.;28;175;68;https://cdn.sofifa.com/players/190/871/21_60.png;Brazil;91;91;0;2174;450;LW,CAM;LW;73;132000000;270000;244200000;LW;2025;10;2017;False;Not in team;;;Right;5;5;5;High;Medium;91;85;86;94;36;58;85;87;62;87;87;95;88;89;81;95;94;89;96;91;83;80;62;80;50;84;51;36;87;90;92;93;35;30;29;9;9;15;15;11;87;90;89;89;89;90;91;91;86;91;70;65;70;65;52;65;23
192985;K. De Bruyne;Kevin De Bruyne;29;181;70;https://cdn.sofifa.com/players/192/985/21_60.png;Belgium;91;91;0;2307;486;CM,CAM,CF;CM;10;127500000;370000;235900000;CM;2025;17;2015;False;Belgium;CM;7;Right;4;5;4;High;High;77;86;93;88;64;78;94;82;55;94;82;88;85;83;93;92;77;77;79;91;78;91;63;89;74;91;76;66;88;94;83;91;68;65;53;15;13;5;10;13;86;88;88;88;88;88;91;91;91;91;82;83;82;78;72;78;24
200389;J. Oblak;Jan Oblak;27;188;87;https://cdn.sofifa.com/players/200/389/21_60.png;Slovenia;91;93;2;1413;489;GK;GK;240;120000000;125000;255000000;GK;2023;13;2014;False;Slovenia;GK;1;Right;3;3;1;Medium;Medium;87;92;78;90;52;90;13;11;15;43;13;12;13;14;40;30;43;60;67;88;49;59;78;41;78;12;34;19;11;65;11;68;27;12;18;87;92;78;90;90;36;32;35;35;35;32;41;38;41;38;35;39;35;35;36;35;92
231747;K. Mbapp̩;Kylian Mbapp̩;21;178;73;https://cdn.sofifa.com/players/231/747/21_60.png;France;90;95;5;2157;467;ST,LW;ST;73;185500000;160000;357100000;ST;2022;7;2018;False;France;LW;10;Right;3;4;5;High;Low;96;87;78;91;39;76;78;91;73;83;83;92;79;63;70;90;96;96;92;92;82;86;77;86;76;79;62;38;91;80;80;84;34;34;32;13;5;7;11;6;91;89;89;89;89;89;90;90;82;90;70;66;70;66;58;66;21
203376;V. van Dijk;Virgil van Dijk;28;193;92;https://cdn.sofifa.com/players/203/376/21_60.png;Netherlands;90;91;1;2103;451;CB;CB;9;113000000;210000;217500000;RES;2025;4;2018;False;Netherlands;RES;4;Right;3;3;2;Medium;Medium;73;60;71;71;91;85;53;52;87;79;45;70;60;70;86;77;67;78;61;88;53;81;90;73;92;64;83;90;47;65;62;90;93;93;86;13;10;13;11;11;73;67;69;69;69;67;73;72;79;72;82;88;82;84;91;84;23
192448;M. ter Stegen;Marc-Andr̩ ter Stegen;28;187;85;https://cdn.sofifa.com/players/192/448/21_60.png;Germany;90;92;2;1444;484;GK;GK;241;102000000;260000;216800000;GK;2025;1;2014;False;Not in team;;;Right;3;4;1;Medium;Medium;88;85;88;90;45;88;18;14;11;61;14;21;18;12;63;30;38;50;39;86;43;66;79;35;78;10;43;22;11;70;25;70;25;13;10;88;85;88;88;90;38;35;38;38;38;35;45;42;48;42;36;44;36;34;36;34;91
167495;M. Neuer;Manuel Neuer;34;193;93;https://cdn.sofifa.com/players/167/495/21_60.png;Germany;90;90;0;1534;501;GK;GK;21;20500000;135000;33800000;GK;2023;1;2011;False;Germany;GK;1;Right;5;4;1;Medium;Medium;88;88;91;89;57;88;15;13;25;60;11;30;14;11;68;46;54;60;51;87;35;68;77;43;80;16;29;30;12;70;47;70;17;10;11;88;88;91;88;89;43;40;43;43;43;40;50;47;53;47;39;46;39;38;37;38;90
