CLI_ID;CLI_ANNEE;CLI_PROD;CLI_PRIX;CLI_CONFORT;CLI_COM;CLI_CHOIX;CLI_AGE;CLI_GENRE
CLI_1;1;1;10500;1650;2;1;51;M
CLI_2;1;1;8100;1150;1;2;44;M
CLI_3;1;2;6300;800;5;0;26;F
CLI_4;1;2;11400;1550;4;0;35;F
CLI_5;1;1;6600;1300;1;4;47;M
CLI_6;1;1;6800;900;1;1;32;F
CLI_7;1;2;11800;1700;2;0;44;F
CLI_8;1;1;8800;1450;2;4;45;M
CLI_9;1;1;10200;1500;5;4;41;M
CLI_10;1;2;11100;2000;2;3;45;M
CLI_11;1;1;7200;1100;3;4;34;M
CLI_12;1;1;7300;1250;4;4;39;M
CLI_13;1;1;4000;950;4;0;39;M
CLI_14;1;2;11000;1500;4;4;35;F
CLI_15;1;1;14900;1850;5;0;56;M
CLI_16;1;1;5200;850;5;0;26;M
CLI_17;1;2;17000;2350;3;3;47;F
CLI_18;1;2;11300;1500;3;2;40;F
CLI_19;1;1;10600;1500;5;0;47;M
CLI_20;1;1;11900;1900;5;0;46;F
CLI_21;1;1;7600;1150;1;1;51;M
CLI_22;1;1;6700;1700;5;0;45;F
CLI_23;1;2;19900;2250;4;3;49;F
CLI_24;1;1;7400;900;4;3;27;M
CLI_25;1;1;12100;1800;3;1;49;M
CLI_26;1;2;9700;1100;5;4;29;F
CLI_27;1;2;8800;1250;5;0;29;M
CLI_28;1;1;6000;950;5;3;29;F
CLI_29;1;1;5900;850;1;1;32;F
CLI_30;1;1;5000;950;4;2;31;M
CLI_31;1;1;4500;800;4;2;25;F
CLI_32;1;2;10900;1850;2;0;49;F
CLI_33;1;1;9800;1150;4;3;45;F
CLI_34;1;1;4900;900;1;1;31;M
CLI_35;1;2;15000;2300;2;3;66;M
CLI_36;1;1;10600;1550;5;3;46;M
CLI_37;1;1;5700;1450;1;4;50;M
CLI_38;1;1;9500;1200;4;2;39;M
CLI_39;1;1;7600;1100;4;1;34;M
CLI_40;1;1;7100;1150;1;1;45;M
CLI_41;1;1;9500;1300;3;1;46;F
CLI_42;1;2;10400;1800;5;0;43;M
CLI_43;1;2;14100;2650;2;3;57;M
CLI_44;1;2;8700;1200;3;4;28;M
CLI_45;1;1;7300;950;1;3;48;M
CLI_46;1;1;7800;1050;3;4;35;M
CLI_47;1;1;3000;300;5;0;22;M
CLI_48;1;1;9300;1850;4;1;47;M
CLI_49;1;1;5300;1150;1;1;48;F
CLI_50;1;2;10500;1600;2;1;42;F
CLI_51;1;1;9300;1350;1;1;50;M
CLI_52;1;1;8600;1000;5;4;31;F
CLI_53;1;1;16600;1950;2;0;66;F
CLI_54;1;1;16400;1850;5;0;45;M
CLI_55;1;1;5500;800;2;3;33;M
CLI_56;1;1;4600;800;5;2;26;M
CLI_57;1;2;20200;3000;5;0;46;F
CLI_58;1;2;10700;1350;2;5;35;M
CLI_59;1;1;7900;1150;4;4;35;M
CLI_60;1;1;8300;1150;5;1;33;M
CLI_61;1;1;7900;1150;1;1;48;F
CLI_62;1;2;12700;2250;1;3;59;F
CLI_63;1;1;7500;1200;5;0;34;F
CLI_64;1;1;7400;950;3;1;34;M
CLI_65;1;1;5400;800;3;1;29;M
CLI_66;1;1;4400;1050;3;0;33;M
CLI_67;1;1;7500;1450;1;4;54;F
CLI_68;1;1;13200;1700;1;0;67;M
CLI_69;1;1;4400;700;5;2;23;M
CLI_70;1;2;14600;2150;4;2;50;F
CLI_71;1;1;6800;1050;5;4;32;M
CLI_72;1;1;9700;1500;3;1;54;M
CLI_73;1;2;19700;2550;2;3;53;M
CLI_74;1;1;8200;1150;5;4;43;M
CLI_75;1;1;11500;1650;4;1;45;M
CLI_76;1;1;11000;1550;2;1;52;M
CLI_77;1;2;14800;1950;4;5;41;M
CLI_78;1;1;4300;550;5;2;24;F
CLI_79;1;2;5900;800;2;0;34;M
CLI_80;1;1;9700;1150;2;2;52;M
CLI_81;1;1;9100;1600;1;4;64;F
CLI_82;1;1;5800;750;2;1;36;M
CLI_83;1;1;14000;2050;2;0;66;F
CLI_84;1;2;10100;1550;3;0;38;F
CLI_85;1;1;7600;1350;5;0;47;M
CLI_86;1;1;6000;800;2;2;36;F
CLI_87;1;1;6800;800;1;1;31;F
CLI_88;1;2;14100;1650;4;2;39;M
CLI_89;1;1;6400;1050;2;1;36;F
CLI_90;1;1;11900;1650;3;0;51;M
CLI_91;1;1;11000;1600;3;0;54;M
CLI_92;1;1;6900;1100;5;4;36;M
CLI_93;1;2;18000;2800;3;0;62;M
CLI_94;1;2;16700;2600;3;0;48;M
CLI_95;1;1;4900;650;3;2;35;M
CLI_96;1;1;8500;1400;2;1;44;M
CLI_97;1;1;7600;1300;5;4;40;F
CLI_98;1;1;4700;1100;4;0;34;F
CLI_99;1;2;20500;2800;5;2;53;F
CLI_100;1;1;8300;1650;3;0;52;F
CLI_101;1;1;8800;1600;3;1;47;F
CLI_102;1;1;8500;1650;3;0;47;F
CLI_103;1;1;9600;1950;5;0;56;F
CLI_104;1;1;7900;1100;3;3;42;M
CLI_105;1;1;8600;1400;5;4;43;F
CLI_106;1;2;16400;2600;4;3;57;F
CLI_107;1;1;7700;950;3;1;42;F
CLI_108;1;1;4600;850;3;2;31;M
CLI_109;1;2;14900;2350;2;3;57;F
CLI_110;1;1;9000;1550;2;0;62;F
CLI_111;1;2;10200;1700;2;0;43;F
CLI_112;1;1;10400;1500;1;0;47;F
CLI_113;1;1;5900;800;4;2;31;F
CLI_114;1;1;8400;1200;3;4;41;F
CLI_115;1;1;8400;1250;2;1;46;F
CLI_116;1;2;4700;450;2;0;35;M
CLI_117;1;1;3700;500;4;0;27;M
CLI_118;1;1;3000;500;2;0;35;M
CLI_119;1;2;10600;1600;5;0;32;F
CLI_120;1;1;7200;1150;5;4;38;F
CLI_121;1;1;7700;1300;5;4;35;M
CLI_122;1;1;10200;1600;1;0;64;F
CLI_123;1;1;11700;1650;5;0;44;M
CLI_124;1;1;4600;750;4;2;31;F
CLI_125;1;2;10400;1900;1;2;47;F
CLI_126;1;1;5100;1150;4;1;46;F
CLI_127;1;1;5800;900;3;1;33;F
CLI_128;1;1;8200;1300;4;0;45;F
CLI_129;1;1;5800;950;5;3;34;F
CLI_130;1;2;9100;1950;1;0;44;F
CLI_131;1;1;6300;1250;4;2;35;M
CLI_132;1;1;8800;1750;2;4;64;F
CLI_133;1;2;16700;2250;5;0;40;F
CLI_134;1;1;8900;1300;4;1;37;M
CLI_135;1;1;8200;1300;5;4;37;F
CLI_136;1;1;9700;1600;4;0;46;M
CLI_137;1;1;9400;1400;5;4;41;M
CLI_138;1;2;12800;1700;4;0;35;F
CLI_139;1;1;6500;1350;2;1;53;M
CLI_140;1;2;15700;1750;2;3;45;F
CLI_141;1;2;15900;2300;2;3;51;M
CLI_142;1;2;11200;2200;2;0;52;M
CLI_143;1;2;10800;1600;4;4;38;F
CLI_144;1;1;7200;1250;4;0;39;M
CLI_145;1;1;8400;1300;3;1;39;F
CLI_146;1;1;4700;700;1;2;35;F
CLI_147;1;1;9400;1200;1;1;47;F
CLI_148;1;2;13400;2250;1;3;47;M
CLI_149;1;1;11000;1300;2;4;41;M
CLI_150;1;1;6800;1250;3;4;39;F
CLI_151;1;2;13000;1400;1;4;47;F
CLI_152;1;1;3900;850;1;0;39;F
CLI_153;1;1;8400;1100;2;1;39;M
CLI_154;1;1;5100;1150;5;1;34;F
CLI_155;1;1;12500;1800;1;0;52;F
CLI_156;1;1;8600;1100;1;1;41;F
CLI_157;1;1;8400;1200;3;1;40;F
CLI_158;1;1;7500;1100;3;1;33;M
CLI_159;1;2;13400;2150;2;5;58;M
CLI_160;1;1;11500;1800;2;0;53;M
CLI_161;1;2;6500;1100;1;0;36;M
CLI_162;1;1;11100;1600;2;1;50;F
CLI_163;1;2;8600;1350;4;4;32;M
CLI_164;1;1;9800;1400;5;3;41;F
CLI_165;1;1;7900;1250;3;1;44;F
CLI_166;1;1;8100;1150;4;4;44;F
CLI_167;1;1;9300;1950;3;0;55;F
CLI_168;1;1;5900;1000;3;1;34;M
CLI_169;1;1;4400;750;4;1;32;M
CLI_170;1;1;7800;1500;1;1;47;M
CLI_171;1;2;13500;2500;4;0;58;M
CLI_172;1;1;10900;1300;1;1;52;F
CLI_173;1;1;4300;850;1;2;34;M
CLI_174;1;1;10200;1300;1;4;52;F
CLI_175;1;2;9700;1950;5;0;36;M
CLI_176;1;1;11200;1300;4;4;37;F
CLI_177;1;2;11200;1550;2;1;39;M
CLI_178;1;1;7500;1450;4;4;51;M
CLI_179;1;2;20900;2800;1;0;53;F
CLI_180;1;1;9400;1300;4;4;45;F
CLI_181;1;2;7300;750;1;0;33;M
CLI_182;1;2;16500;2150;5;0;45;M
CLI_183;1;1;8500;1000;2;3;40;M
CLI_184;1;2;12600;2350;3;3;56;F
CLI_185;1;1;8800;950;4;3;35;F
CLI_186;1;2;11400;2000;4;0;51;M
CLI_187;1;1;7200;1100;2;4;41;F
CLI_188;1;2;13600;1700;4;3;44;F
CLI_189;1;2;13800;1850;4;3;42;F
CLI_190;1;1;12200;1650;3;0;49;F
CLI_191;1;1;10300;1800;1;0;53;F
CLI_192;1;2;12000;2350;1;2;53;M
CLI_193;1;1;10600;1600;1;2;60;M
CLI_194;1;1;9900;1300;5;4;35;M
CLI_195;1;1;10300;1550;1;0;56;F
CLI_196;1;1;9200;1200;2;1;47;F
CLI_197;1;1;4900;600;5;1;26;F
CLI_198;1;1;10500;1500;2;0;57;M
CLI_199;1;1;4500;650;4;2;27;M
CLI_200;1;1;8500;1250;1;1;43;M
CLI_201;1;1;4300;800;5;1;26;M
CLI_202;1;1;9500;1400;3;0;42;F
