COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
EFF_TOT;Postes des Ets actifs au 31/12/2020;Nombre de postes salariés des établissements actifs au 31/12/2020;;;NUM;6
EFF_AZ;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche au 31/12/2020;;;NUM;4
EFF_BE;Industrie;Nombre de postes salariés des établissements actifs de l'industrie au 31/12/2020;;;NUM;5
EFF_FZ;Construction;Nombre de postes salariés des établissements actifs de la construction au 31/12/2020;;;NUM;5
EFF_GU;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers au 31/12/2020;;;NUM;6
EFF_OQ;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale au 31/12/2020;;;NUM;6
EFF_TOT_1_4;Postes des Ets actifs de 1 à 4 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 1 à 4 salariés au 31/12/2020;;;NUM;5
EFF_AZ_1_4;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 1 à 4 salariés au 31/12/2020;;;NUM;3
EFF_BE_1_4;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 1 à 4 salariés au 31/12/2020;;;NUM;3
EFF_FZ_1_4;Construction;Nombre de postes salariés des établissements actifs de la construction de 1 à 4 salariés au 31/12/2020;;;NUM;4
EFF_GU_1_4;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 1 à 4 salariés au 31/12/2020;;;NUM;5
EFF_OQ_1_4;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 1 à 4 salariés au 31/12/2020;;;NUM;4
EFF_TOT_5_9;Postes des Ets actifs de 5 à 9 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 5 à 9 salariés au 31/12/2020;;;NUM;5
EFF_AZ_5_9;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 5 à 9 salariés au 31/12/2020;;;NUM;3
EFF_BE_5_9;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 5 à 9 salariés au 31/12/2020;;;NUM;4
EFF_FZ_5_9;Construction;Nombre de postes salariés des établissements actifs de la construction de 5 à 9 salariés au 31/12/2020;;;NUM;4
EFF_GU_5_9;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 5 à 9 salariés au 31/12/2020;;;NUM;5
EFF_OQ_5_9;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 5 à 9 salariés au 31/12/2020;;;NUM;4
EFF_TOT_10_19;Postes des Ets actifs de 10 à 19 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 10 à 19 salariés au 31/12/2020;;;NUM;5
EFF_AZ_10_19;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 10 à 19 salariés au 31/12/2020;;;NUM;3
EFF_BE_10_19;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 10 à 19 salariés au 31/12/2020;;;NUM;4
EFF_FZ_10_19;Construction;Nombre de postes salariés des établissements actifs de la construction de 10 à 19 salariés au 31/12/2020;;;NUM;4
EFF_GU_10_19;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 10 à 19 salariés au 31/12/2020;;;NUM;5
EFF_OQ_10_19;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 10 à 19 salariés au 31/12/2020;;;NUM;4
EFF_TOT_20_49;Postes des Ets actifs de 20 à 49 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 20 à 49 salariés au 31/12/2020;;;NUM;5
EFF_AZ_20_49;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 20 à 49 salariés au 31/12/2020;;;NUM;3
EFF_BE_20_49;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 20 à 49 salariés au 31/12/2020;;;NUM;4
EFF_FZ_20_49;Construction;Nombre de postes salariés des établissements actifs de la construction de 20 à 49 salariés au 31/12/2020;;;NUM;4
EFF_GU_20_49;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 20 à 49 salariés au 31/12/2020;;;NUM;5
EFF_OQ_20_49;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 20 à 49 salariés au 31/12/2020;;;NUM;4
EFF_TOT_50_99;Postes des Ets actifs de 50 à 99 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 50 à 99 salariés au 31/12/2020;;;NUM;5
EFF_AZ_50_99;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 50 à 99 salariés au 31/12/2020;;;NUM;3
EFF_BE_50_99;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 50 à 99 salariés au 31/12/2020;;;NUM;4
EFF_FZ_50_99;Construction;Nombre de postes salariés des établissements actifs de la construction de 50 à 99 salariés au 31/12/2020;;;NUM;4
EFF_GU_50_99;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 50 à 99 salariés au 31/12/2020;;;NUM;5
EFF_OQ_50_99;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 50 à 99 salariés au 31/12/2020;;;NUM;5
EFF_TOT_100_199;Postes des Ets actifs de 100 à 199 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 100 à 199 salariés au 31/12/2020;;;NUM;5
EFF_AZ_100_199;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 100 à 199 salariés au 31/12/2020;;;NUM;3
EFF_BE_100_199;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 100 à 199 salariés au 31/12/2020;;;NUM;4
EFF_FZ_100_199;Construction;Nombre de postes salariés des établissements actifs de la construction de 100 à 199 salariés au 31/12/2020;;;NUM;4
EFF_GU_100_199;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 100 à 199 salariés au 31/12/2020;;;NUM;5
EFF_OQ_100_199;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 100 à 199 salariés au 31/12/2020;;;NUM;4
EFF_TOT_200_499;Postes des Ets actifs de 200 à 499 salariés au 31/12/2020;Nombre de postes salariés des établissements actifs de 200 à 499 salariés au 31/12/2020;;;NUM;5
EFF_AZ_200_499;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 200 à 499 salariés au 31/12/2020;;;NUM;3
EFF_BE_200_499;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 200 à 499 salariés au 31/12/2020;;;NUM;4
EFF_FZ_200_499;Construction;Nombre de postes salariés des établissements actifs de la construction de 200 à 499 salariés au 31/12/2020;;;NUM;4
EFF_GU_200_499;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 200 à 499 salariés au 31/12/2020;;;NUM;5
EFF_OQ_200_499;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 200 à 499 salariés au 31/12/2020;;;NUM;5
EFF_TOT_500P;Postes des Ets actifs de 500 salariés ou plus au 31/12/2020;Nombre de postes salariés des établissements actifs de 500 salariés ou plus au 31/12/2020;;;NUM;6
EFF_AZ_500P;Agriculture, sylviculture, pêche;Nombre de postes salariés des établissements actifs de l'agriculture, sylviculture et pêche de 500 salariés ou plus au 31/12/2020;;;NUM;3
EFF_BE_500P;Industrie;Nombre de postes salariés des établissements actifs de l'industrie de 500 salariés ou plus au 31/12/2020;;;NUM;5
EFF_FZ_500P;Construction;Nombre de postes salariés des établissements actifs de la construction de 500 salariés ou plus au 31/12/2020;;;NUM;4
EFF_GU_500P;Commerce, transports et services divers;Nombre de postes salariés des établissements actifs du commerce, transports et services divers de 500 salariés ou plus au 31/12/2020;;;NUM;5
EFF_OQ_500P;Administration publique, enseignement, santé et action sociale;Nombre de postes salariés des établissements actifs de l'administration publique, enseignement, santé et action sociale de 500 salariés ou plus au 31/12/2020;;;NUM;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01001;L'Abergement-Clémenciat;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01002;L'Abergement-de-Varey;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01004;Ambérieu-en-Bugey;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01005;Ambérieux-en-Dombes;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01006;Ambléon;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01007;Ambronay;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01008;Ambutrix;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01009;Andert-et-Condon;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01010;Anglefort;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01011;Apremont;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01012;Aranc;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01013;Arandas;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01014;Arbent;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01015;Arboys en Bugey;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01016;Arbigny;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01017;Argis;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01019;Armix;CHAR;5
CODGEO;CODGEO;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal;01021;Ars-sur-Formans;CHAR;5
